	St	Ht	Vt	N
19779	114.663001256	22.3960605408	22.4865393644	90
19780	150.091679751	25.1223250825	25.1125895367	90
19781	85.3280454823	19.8936859917	19.771390591	90
19782	74.181283069	18.5464279574	18.5460444745	90
19783	138.279549181	24.2969482169	24.2977752412	90
19784	94.9983212036	20.7535635496	20.7376337947	90
19785	117.525451997	22.7467054922	22.7209991537	90
19786	112.076906534	22.278165352	22.2707099064	90
19787	59.1626643814	16.6690720216	16.6487719819	90
19788	112.012954802	22.4014850536	22.2653231062	90
19789	119.275465817	22.809416363	22.8621269401	90
19790	111.656933757	22.164404186	22.2352902606	90
19791	51.028823303	15.505755843	15.4636961132	90
19792	74.6711727127	18.731490553	18.6027808034	90
19793	69.6087266063	18.0768059104	18.0021150578	90
19794	101.310524812	21.2457364358	21.3276816776	90
19795	109.164586017	22.0045462056	22.022904071	90
19796	101.860814018	21.2856197498	21.3777445845	90
19797	127.619061043	23.4827937243	23.5132833904	90
19798	116.556371786	22.6046384441	22.6421329639	90
19799	99.1911788498	21.037504981	21.1328603124	90
19800	143.408780637	24.5654158633	24.6581681285	90
19801	79.2555707184	19.0312331277	19.1203102966	90
19802	82.7752375967	19.5609011781	19.5021949368	90
19803	159.134751145	25.756939005	25.7023785965	90
19804	287.926351371	32.0865249402	32.0662247802	90
19805	212.885397996	28.6756916121	28.7376832699	90
19806	151.975923971	25.2890340058	25.2377838724	90
19807	173.10928412	26.4862672523	26.562923271	90
19808	169.067973181	26.1774673685	26.3199867318	90
19809	85.9805747732	19.8452043428	19.8391974104	90
19810	93.4549438123	20.6064101378	20.5887196302	90
19811	47.4878935162	15.044658722	14.9032657217	90
19812	122.974344025	23.1323197856	23.1551106037	90
19813	161.514332928	25.9020885792	25.8530950008	90
19814	147.297168209	24.9149418669	24.9245779571	90
19815	55.0922680282	16.1396197748	16.0721562101	90
19816	61.5870519632	17.0340750341	16.9781218251	90
19817	132.797040121	23.9201743689	23.9005800446	90
19818	66.3380320632	17.6416690924	17.5960397191	90
19819	48.6954782875	15.050283381	15.0977799426	90
19820	75.3402699809	18.6831570234	18.6798118083	90
19821	118.300583137	22.7745430118	22.7837122252	90
19822	154.118999075	25.461300594	25.3786734303	90
19823	186.583573189	27.2185198083	27.3411782354	90
19824	77.9107607183	18.9613359505	18.9709384407	90
19825	67.3197902596	17.6843374501	17.7195051144	90
19826	130.554262977	23.6937841695	23.7343275596	90
19827	80.596413014	19.2722554074	19.2673076908	90
